,Titulo,action,adventure,mistery,comedy,family,sciFi,fantasy,animation,horror,thriller,drama,biography,music,western,war,crime,romance,sport,musical
0,Guardians of the Galaxy,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Prometheus,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Split,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
3,Sing,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,Suicide Squad,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,The Great Wall,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,La La Land,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
7,Mindhorn,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,The Lost City of Z,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9,Passengers,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
10,Fantastic Beasts and Where to Find Them,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,Hidden Figures,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
12,Rogue One,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Moana,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14,Colossal,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
15,The Secret Life of Pets,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16,Hacksaw Ridge,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
17,Jason Bourne,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
18,Lion,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
19,Arrival,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
20,Gold,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
21,Manchester by the Sea,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
22,Hounds of Love,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
23,Trolls,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
24,Independence Day: Resurgence,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Paris pieds nus,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Bahubali: The Beginning,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
27,Dead Awake,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
28,Bad Moms,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Assassin's Creed,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
30,Why Him?,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Nocturnal Animals,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
32,X-Men: Apocalypse,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Deadpool,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Resident Evil: The Final Chapter,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
35,Captain America: Civil War,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Interstellar,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
37,Doctor Strange,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
38,The Magnificent Seven,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
39,5- 25- 77,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
40,Sausage Party,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
41,Moonlight,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
42,Don't Fuck in the Woods,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
43,The Founder,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
44,Lowriders,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
45,Pirates of the Caribbean: On Stranger Tides,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
46,Miss Sloane,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
47,Fallen,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
48,Star Trek Beyond,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
49,The Last Face,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
50,Star Wars: Episode VII - The Force Awakens,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
51,Underworld: Blood Wars,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
52,Mother's Day,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
53,John Wick,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
54,The Dark Knight,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
55,Silence,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
56,Don't Breathe,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
57,Me Before You,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
58,Their Finest,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
59,Sully,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
60,Batman v Superman: Dawn of Justice,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
61,The Autopsy of Jane Doe,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
62,The Girl on the Train,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
63,Fifty Shades of Grey,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
64,The Prestige,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
65,Kingsman: The Secret Service,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,Patriots Day,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
67,Mad Max: Fury Road,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
68,Wakefield,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
69,Deepwater Horizon,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
70,The Promise,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
71,Allied,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
72,A Monster Calls,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
73,Collateral Beauty,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
74,Zootopia,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
75,Pirates of the Caribbean: At World's End,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
76,The Avengers,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
77,Inglourious Basterds,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
78,Pirates of the Caribbean: Dead Man's Chest,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
79,Ghostbusters,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
80,Inception,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
81,Captain Fantastic,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
82,The Wolf of Wall Street,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
83,Gone Girl,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
84,Furious Seven,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
85,Jurassic World,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Live by Night,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
87,Avatar,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
88,The Hateful Eight,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
89,The Accountant,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
90,Prisoners,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
91,Warcraft,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
92,The Help,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
93,War Dogs,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
94,Avengers: Age of Ultron,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
95,The Nice Guys,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
96,Kimi no na wa,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
97,The Void,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
98,Personal Shopper,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
99,The Departed,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
100,Legend,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
101,Thor,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
102,The Martian,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
103,Contratiempo,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
104,The Man from U.N.C.L.E.,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,Hell or High Water,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
106,The Comedian,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,The Legend of Tarzan,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
108,All We Had,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
109,Ex Machina,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
110,The Belko Experiment,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
111,12 Years a Slave,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
112,The Bad Batch,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
113,300,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
114,Harry Potter and the Deathly Hallows: Part 2,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
115,Office Christmas Party,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,The Neon Demon,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
117,Dangal,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
118,10 Cloverfield Lane,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
119,Finding Dory,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
120,Miss Peregrine's Home for Peculiar Children,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
121,Divergent,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
122,Mike and Dave Need Wedding Dates,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
123,Boyka: Undisputed IV,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,The Dark Knight Rises,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
125,The Jungle Book,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
126,Transformers: Age of Extinction,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
127,Nerve,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
128,Mamma Mia!,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
129,The Revenant,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
130,Fences,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
131,Into the Woods,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
132,The Shallows,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
133,Whiplash,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
134,Furious 6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
135,The Place Beyond the Pines,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
136,No Country for Old Men,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
137,The Great Gatsby,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
138,Shutter Island,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
139,Brimstone,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
140,Star Trek,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
141,Diary of a Wimpy Kid,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,The Big Short,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
143,Room,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
144,Django Unchained,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
145,Ah-ga-ssi,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
146,The Edge of Seventeen,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
147,Watchmen,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
148,Superbad,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,Inferno,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
150,The BFG,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
151,The Hunger Games,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
152,White Girl,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
153,Sicario,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
154,Twin Peaks: The Missing Pieces,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
155,Aliens vs Predator - Requiem,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
156,Pacific Rim,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
157,"Crazy, Stupid, Love.",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
158,Scott Pilgrim vs. the World,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
159,Hot Fuzz,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,Mine,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
161,Free Fire,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
162,X-Men: Days of Future Past,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
163,Jack Reacher: Never Go Back,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
164,Casino Royale,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
165,Twilight,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
166,Now You See Me 2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,Woman in Gold,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
168,13 Hours,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
169,Spectre,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
170,Nightcrawler,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
171,Kubo and the Two Strings,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
172,Beyond the Gates,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
173,Her,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
174,Frozen,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
175,Tomorrowland,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,Dawn of the Planet of the Apes,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
177,Tropic Thunder,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,The Conjuring 2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
179,Ant-Man,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,Bridget Jones's Baby,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
181,The VVitch: A New-England Folktale,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
182,Cinderella,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
183,Realive,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
184,Forushande,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
185,Love,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
186,Billy Lynn's Long Halftime Walk,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
187,Crimson Peak,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
188,Drive,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
189,Trainwreck,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
190,The Light Between Oceans,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
191,Below Her Mouth,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
192,Spotlight,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
193,Morgan,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
194,Warrior,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
195,Captain America: The First Avenger,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
196,Hacker,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
197,Into the Wild,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
198,The Imitation Game,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
199,Central Intelligence,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
200,Edge of Tomorrow,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
201,A Cure for Wellness,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
202,Snowden,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
203,Iron Man,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
204,Allegiant,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,X: First Class,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
206,Raw (II),0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
207,Paterson,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
208,Bridesmaids,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
209,The Girl with All the Gifts,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
210,San Andreas,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
211,Spring Breakers,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
212,Transformers,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
213,Old Boy,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
214,Thor: The Dark World,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
215,Gods of Egypt,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
216,Captain America: The Winter Soldier,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
217,Monster Trucks,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,A Dark Song,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
219,Kick-Ass,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,Hardcore Henry,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
221,Cars,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
222,It Follows,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
223,The Girl with the Dragon Tattoo,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
224,We're the Millers,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
225,American Honey,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
226,The Lobster,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
227,Predators,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
228,Maleficent,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229,Rupture,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
230,Pan's Labyrinth,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
231,A Kind of Murder,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
232,Apocalypto,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
233,Mission: Impossible - Rogue Nation,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
234,The Huntsman: Winter's War,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
235,The Perks of Being a Wallflower,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
236,Jackie,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
237,The Disappointments Room,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
238,The Grand Budapest Hotel,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
239,The Host,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
240,Fury,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
241,Inside Out,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
242,Rock Dog,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
243,Terminator Genisys,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
244,Percy Jackson & the Olympians: The Lightning Thief,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
245,Les Misérables,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
246,Children of Men,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
